0 -nan -nan -nan 1850.59 1850.59 1850.59 
9990 0 -1834.83 0 -1850.59 -1850.59 -1850.59 
10001 0 -1838.82 0 -1850.59 -1850.59 -1850.59 
10001 0 -1841.82 0 -1850.59 -1850.59 -1850.59 
10035 0 -1835.58 0 -1850.59 -1850.59 -1850.59 
9993 0 -1840.29 0 -1850.59 -1850.59 -1850.59 
10001 0 -1838.82 0 -1850.59 -1850.59 -1850.59 
9976 0 -1840.42 0 -1850.59 -1850.59 -1850.59 
10026 0 -1831.24 0 -1850.59 -1850.59 -1850.59 
9995 0 -1839.92 0 -1850.59 -1850.59 -1850.59 
9998 0 -1836.37 0 -1850.59 -1850.59 -1850.59 
10018 0 -1832.7 0 -1850.59 -1850.59 -1850.59 
9996 0 -1842.74 0 -1850.59 -1850.59 -1850.59 
9995 0 -1836.92 0 -1850.59 -1850.59 -1850.59 
9996 0 -1836.73 0 -1850.59 -1850.59 -1850.59 
9980 0 -1842.69 0 -1850.59 -1850.59 -1850.59 
10021 0 -1841.13 0 -1850.59 -1850.59 -1850.59 
9991 0 -1843.66 0 -1850.59 -1850.59 -1850.59 
